Raainummer,monsternummer,Mengmonster,Monsternaam,Easting,Northing,MaaiveldhoogtemNAP,D50m
R1,S6,SL_01_01_A,R1S6,117105.9,560357.4,3.593,640.267603179505
R1,S7,SL_01_02_A,R1S7,117162.5,560370.5,2.956,638.664727089434
R2,S6,SL_02_01_A,R2S6,115410.6,558312.7,0.838,479.731524964316
R2,S7,SL_02_02_A,R2S7,115457,558287,-0.459,457.969742406722
R3,S6,SL_03_01_A,R3S6,115746.4,558715.7,0.619,586.690286291529
R3,S7,SL_03_02_A,R3S7,115760.6,558698.4,-0.472,485.613753830425
R4,S6,SL_04_01_A,R4S6,116158.6,558999.3,0.671,780.780354408422
R4,S7,SL_04_02_A,R4S7,116170.1,558983.6,-0.426,863.624397796958
R5,S6,SL_05_01_A,R5S6,116556.9,559320.5,0.606,470.530399086528
R5,S7,SL_05_02_A,R5S7,116572.3,559303.6,-0.523,602.747637061775
R6,S6,SL_06_01_A,R6S6,116945.2,559649.6,0.685,449.775907667031
R6,S7,SL_06_02_A,R6S7,116951.4,559640.5,-0.534,469.59909107548
R7,S6,SL_07_01_A,R7S6,117320.8,559970.3,0.625,851.118805049536
R7,S7,SL_07_02_A,R7S7,117337.4,559958.3,-0.487,687.349030088233
